transaction_id,user_id,account_age_days,total_orders,avg_order_value,past_fraud_flag,device_type,os,ip_region,billing_address_region,delivery_address_region,billing_delivery_match,restaurant_region,delivery_distance_km,order_value,payment_method,card_type,payment_retries,promo_code_used,refund_requests,order_timestamp,order_hour,order_day_of_week,orders_last_24h,high_value_flag,ip_shared_flag,chargeback_flag,fraudulent
TXN_688697476723,USR_6191,571,2952,31.17,1,tablet,Linux,Kano,Ibadan,Lagos,0,Port Harcourt South,2.01,378.67,credit_card,Visa,0,0,6,2025-06-04 14:52:44,15,Friday,6,1,1,1,0
TXN_355815623016,USR_65457,740,46,85.07,0,desktop,Android,Lagos,Abuja,Ibadan,0,Port Harcourt South,83.91,144.1,wallet,,3,1,4,2025-07-15 10:29:21,16,Sunday,10,1,0,1,1
TXN_726754552810,USR_10774,382,3227,5.36,0,desktop,Android,Lagos,Lagos,Kano,0,Lagos Mainland,72.52,5.48,wallet,Verve,2,1,0,2025-04-04 10:42:21,12,Thursday,5,1,0,0,0
TXN_437041669129,USR_29665,13,3815,9.63,1,tablet,Windows,Ibadan,Abuja,Ibadan,0,Abuja Central,2.01,255.86,paypal,Visa,2,0,0,2025-08-03 07:55:50,9,Thursday,0,0,0,0,0
TXN_903941129570,USR_98423,680,4986,8.27,1,mobile,MacOS,Lagos,Lagos,Port Harcourt,0,Port Harcourt South,98.68,75.72,paypal,Amex,1,0,2,2025-08-25 05:57:20,23,Saturday,7,1,0,1,0
TXN_29971908398,USR_67461,459,46,5.36,0,tablet,Windows,Kano,Abuja,Port Harcourt,1,Abuja Central,2.01,137.89,paypal,Verve,5,1,7,2025-06-10 23:28:37,13,Sunday,4,1,0,1,0
TXN_915723438544,USR_10143,707,3285,25.44,1,mobile,Linux,Kano,Abuja,Kano,0,Abuja Central,97.25,37.83,debit_card,Visa,4,0,0,2025-05-10 04:48:26,23,Wednesday,10,1,1,1,0
TXN_113318065960,USR_66055,1958,3656,57.5,0,tablet,Windows,Kano,Abuja,Abuja,0,Kano North,81.29,95.32,paypal,Verve,5,1,0,2025-01-25 03:07:56,22,Saturday,9,0,1,0,0
TXN_63157589727,USR_21401,13,4986,66.52,0,mobile,MacOS,Port Harcourt,Port Harcourt,Ibadan,0,Abuja Central,85.41,310.93,paypal,Mastercard,1,0,5,2025-02-27 18:25:40,6,Wednesday,9,1,0,1,0
TXN_978033343340,USR_70998,1878,4986,67.57,0,mobile,Linux,Abuja,Port Harcourt,Abuja,0,Abuja Central,27.51,5.48,bank_transfer,Visa,5,0,8,2025-08-26 19:29:11,21,Sunday,9,1,0,1,0
TXN_651239722508,USR_68215,981,46,99.65,1,desktop,iOS,Ibadan,Lagos,Kano,1,Lagos Mainland,6.83,491.52,bank_transfer,Mastercard,4,1,10,2025-07-11 16:32:08,19,Tuesday,10,1,0,1,0
TXN_100813762014,USR_9311,1577,46,5.36,1,mobile,MacOS,Abuja,Lagos,Abuja,0,Lagos Island,61.72,198.19,wallet,Visa,5,1,0,2025-07-21 11:02:09,12,Thursday,9,0,0,1,1
TXN_159649176012,USR_31104,1177,46,9.65,0,mobile,iOS,Abuja,Kano,Port Harcourt,1,Port Harcourt South,45.1,186.07,paypal,Visa,5,0,5,2025-02-04 17:48:19,23,Saturday,4,0,0,1,0
TXN_528058447265,USR_29132,13,3406,36.1,0,desktop,iOS,Kano,Port Harcourt,Ibadan,1,Abuja Central,98.68,400.33,bank_transfer,Verve,3,0,10,2025-01-04 15:24:28,23,Saturday,9,0,0,1,0
TXN_550750538128,USR_79966,1417,4986,99.65,1,desktop,iOS,Port Harcourt,Ibadan,Port Harcourt,0,Abuja Central,58.88,5.48,paypal,Verve,0,1,7,2025-07-24 10:42:27,17,Wednesday,9,1,0,1,0
TXN_751097651187,USR_56291,1795,4702,5.36,0,desktop,Linux,Abuja,Ibadan,Lagos,0,Lagos Mainland,23.83,491.52,wallet,Verve,0,0,0,2025-02-22 21:41:21,23,Friday,7,1,0,1,0
TXN_953583212010,USR_51158,1831,4986,85.25,0,tablet,iOS,Kano,Ibadan,Port Harcourt,0,Port Harcourt South,61.02,43.33,wallet,Amex,0,1,5,2025-01-16 22:57:01,9,Sunday,8,1,1,1,0
TXN_889803269035,USR_9311,13,4986,8.68,0,tablet,Linux,Lagos,Abuja,Port Harcourt,1,Kano North,22.75,491.52,debit_card,Visa,2,0,10,2025-01-24 17:45:12,23,Tuesday,9,0,0,1,1
TXN_857860299879,USR_55419,1272,4986,76.99,1,desktop,Windows,Lagos,Lagos,Lagos,0,Kano North,58.78,188.56,paypal,Verve,1,0,2,2025-07-24 02:37:56,23,Friday,10,1,0,1,0
TXN_206771484906,USR_21967,1958,4986,99.65,0,tablet,Android,Kano,Abuja,Abuja,0,Abuja Central,98.68,385.13,debit_card,Verve,1,0,7,2025-08-25 05:57:20,23,Saturday,10,1,0,0,0
TXN_106437660522,USR_64920,499,4986,42.52,0,mobile,iOS,Ibadan,Abuja,Lagos,0,Lagos Island,25.48,192.06,paypal,Mastercard,0,0,2,2025-01-25 03:07:56,13,Saturday,8,0,1,1,0
TXN_14198565617,USR_360,1948,4986,43.2,1,tablet,Linux,Port Harcourt,Port Harcourt,Abuja,1,Lagos Island,2.01,192.5,bank_transfer,,5,1,1,2025-01-21 09:10:58,13,Wednesday,10,1,1,1,0
TXN_265845507070,USR_79004,1224,3213,88.38,1,tablet,Android,Port Harcourt,Lagos,Abuja,0,Abuja Central,64.81,302.97,bank_transfer,Visa,0,0,3,2025-02-17 00:12:08,23,Friday,9,1,1,1,0
TXN_106437660522,USR_56291,1362,3632,78.15,1,tablet,MacOS,Lagos,Lagos,Ibadan,0,Lagos Mainland,2.01,293.21,credit_card,,2,0,7,2025-07-28 05:51:14,3,Sunday,4,1,0,1,1
TXN_14198565617,USR_64611,1221,46,60.92,1,mobile,Windows,Port Harcourt,Lagos,Ibadan,0,Kano North,98.68,9.3,bank_transfer,Visa,5,1,10,2025-03-13 01:17:44,23,Thursday,8,0,1,1,0
TXN_978033343340,USR_55419,1744,4986,36.99,0,tablet,iOS,Kano,Lagos,Lagos,0,Abuja Central,98.68,5.48,wallet,Mastercard,4,0,1,2025-07-15 17:49:25,16,Saturday,8,0,0,0,0
TXN_783286442412,USR_14808,481,4518,99.65,1,tablet,iOS,Port Harcourt,Lagos,Ibadan,0,Port Harcourt South,2.01,177.22,wallet,Visa,1,0,10,2025-05-25 18:58:45,20,Tuesday,7,1,0,1,1
TXN_813424162880,USR_50145,13,46,74.72,0,desktop,Android,Ibadan,Lagos,Kano,0,Abuja Central,63.46,5.48,wallet,Visa,5,1,10,2025-05-05 14:46:34,23,Saturday,10,1,0,1,0
TXN_978033343340,USR_27895,1550,46,78.31,1,tablet,Windows,Lagos,Abuja,Kano,0,Abuja Central,48.36,491.52,debit_card,Visa,0,1,3,2025-07-28 07:40:12,0,Tuesday,10,0,0,1,1
TXN_93000227262,USR_95727,584,2344,5.36,1,desktop,Windows,Kano,Lagos,Port Harcourt,1,Abuja Central,2.01,319.61,credit_card,,3,1,2,2025-04-15 01:52:08,21,Sunday,0,0,1,1,0
TXN_889803269035,USR_51038,1449,669,44.97,1,desktop,Android,Abuja,Lagos,Kano,0,Abuja Central,6.55,491.52,credit_card,Verve,4,0,0,2025-05-06 10:12:37,6,Monday,9,1,1,1,0
TXN_297928247469,USR_41165,1925,4175,95.22,1,desktop,Linux,Port Harcourt,Port Harcourt,Abuja,0,Kano North,2.01,136.62,paypal,,0,1,5,2025-04-15 01:04:29,14,Wednesday,9,1,1,1,0
TXN_726754552810,USR_96718,1427,2540,90.58,1,tablet,MacOS,Kano,Port Harcourt,Kano,0,Lagos Island,2.01,491.52,wallet,Visa,0,1,0,2025-03-18 07:18:20,6,Wednesday,10,1,0,1,0
TXN_751097651187,USR_6191,1050,46,44.99,1,mobile,iOS,Port Harcourt,Lagos,Lagos,0,Abuja Central,63.37,5.48,bank_transfer,Verve,0,0,1,2025-03-06 12:50:41,0,Sunday,6,0,0,1,0
TXN_807634763125,USR_68215,1958,46,99.65,0,tablet,Windows,Abuja,Kano,Port Harcourt,0,Port Harcourt South,98.68,5.48,credit_card,,5,0,2,2025-04-15 01:04:29,15,Wednesday,9,0,1,1,0
TXN_860946847962,USR_93314,13,4986,5.36,1,tablet,Android,Port Harcourt,Ibadan,Ibadan,0,Lagos Mainland,98.68,5.48,debit_card,Visa,5,0,0,2025-02-15 13:40:08,23,Friday,1,1,0,1,1
TXN_972525231891,USR_27895,13,46,64.85,0,desktop,MacOS,Ibadan,Lagos,Ibadan,0,Lagos Island,39.17,5.48,wallet,,5,0,10,2025-05-17 06:10:47,14,Sunday,4,0,0,1,1
TXN_841279820778,USR_79493,13,2582,5.36,1,mobile,Windows,Kano,Ibadan,Kano,0,Abuja Central,63.27,74.06,debit_card,Verve,2,1,8,2025-01-05 16:23:56,19,Wednesday,8,0,0,1,0
TXN_620925722931,USR_53250,13,4986,5.36,1,tablet,Linux,Abuja,Lagos,Kano,1,Kano North,39.57,5.48,debit_card,Verve,5,0,8,2025-07-28 07:40:12,23,Friday,10,1,0,1,0
TXN_865332770348,USR_51158,769,4100,23.78,1,desktop,Linux,Abuja,Port Harcourt,Ibadan,0,Port Harcourt South,10.59,73.86,wallet,Visa,1,1,3,2025-03-25 07:38:23,21,Sunday,8,0,0,1,0
TXN_918994032496,USR_51038,1412,46,69.88,1,desktop,iOS,Lagos,Abuja,Abuja,1,Port Harcourt South,74.37,130.86,bank_transfer,Verve,0,0,3,2025-03-06 12:50:41,1,Wednesday,9,1,0,1,0
TXN_29971908398,USR_57143,13,4805,98.19,0,tablet,Linux,Lagos,Abuja,Abuja,1,Kano North,98.68,300.49,debit_card,Amex,0,1,10,2025-07-25 19:28:06,20,Monday,10,1,0,1,0
TXN_918994032496,USR_71010,1958,4986,5.36,0,desktop,Windows,Port Harcourt,Port Harcourt,Ibadan,1,Lagos Island,3.31,491.52,wallet,Amex,3,1,7,2025-05-29 07:45:06,23,Wednesday,4,1,0,1,0
TXN_48609081916,USR_53135,1958,1210,80.05,0,tablet,MacOS,Kano,Kano,Lagos,1,Port Harcourt South,36.05,491.52,wallet,Mastercard,4,0,8,2025-04-14 15:07:49,13,Tuesday,8,1,0,1,0
TXN_531788049882,USR_50145,13,4986,72.87,0,desktop,Linux,Abuja,Port Harcourt,Abuja,1,Abuja Central,12.44,491.52,debit_card,Visa,0,1,6,2025-04-25 03:25:17,23,Monday,10,1,1,0,0
TXN_889803269035,USR_68627,1958,4986,94.29,0,tablet,iOS,Kano,Kano,Kano,0,Kano North,56.81,5.48,wallet,Verve,1,0,2,2025-03-06 01:27:14,16,Tuesday,10,1,1,1,0
TXN_648315208299,USR_46565,1847,497,99.65,0,desktop,MacOS,Port Harcourt,Abuja,Ibadan,1,Abuja Central,98.68,173.71,wallet,Visa,2,1,10,2025-05-10 12:12:33,2,Wednesday,10,0,1,1,0
TXN_437876471949,USR_10335,13,4986,15.58,0,desktop,Windows,Port Harcourt,Kano,Kano,1,Abuja Central,2.01,491.52,wallet,Verve,0,0,0,2025-01-21 09:10:58,23,Friday,9,0,1,1,0
TXN_618452000073,USR_17708,427,2990,15.34,0,tablet,Windows,Abuja,Abuja,Ibadan,0,Abuja Central,68.86,137.12,credit_card,,0,0,0,2025-05-10 12:12:14,3,Friday,7,1,0,1,0
TXN_225623888793,USR_29912,655,998,98.69,0,tablet,MacOS,Kano,Port Harcourt,Ibadan,0,Lagos Mainland,98.49,324.96,wallet,Visa,3,1,5,2025-01-10 08:46:39,23,Sunday,8,1,0,1,1
TXN_528058447265,USR_54207,13,4122,35.9,0,tablet,Windows,Port Harcourt,Lagos,Abuja,0,Abuja Central,36.22,141.6,wallet,,5,1,1,2025-03-06 01:27:14,2,Saturday,10,1,1,1,0
TXN_265845507070,USR_21967,13,4986,91.47,1,desktop,iOS,Kano,Port Harcourt,Port Harcourt,0,Port Harcourt South,98.68,108.55,paypal,Amex,2,0,10,2025-03-13 01:17:44,13,Tuesday,10,1,1,1,0
TXN_889803269035,USR_57143,20,3824,94.47,0,tablet,iOS,Port Harcourt,Port Harcourt,Kano,0,Kano North,18.19,168.84,wallet,,0,0,0,2025-04-14 05:24:11,18,Thursday,4,1,0,1,0
TXN_726754552810,USR_3069,684,1175,56.64,1,desktop,Linux,Kano,Abuja,Kano,0,Lagos Mainland,21.45,5.48,paypal,Visa,4,0,10,2025-04-15 01:04:29,23,Saturday,6,1,0,1,0
TXN_603394749104,USR_53250,1065,46,99.65,0,desktop,Windows,Port Harcourt,Kano,Port Harcourt,0,Kano North,70.21,58.24,bank_transfer,Amex,1,0,4,2025-05-25 18:58:45,23,Wednesday,6,1,1,0,0
TXN_113318065960,USR_64611,1154,4986,99.65,1,desktop,MacOS,Abuja,Kano,Kano,0,Abuja Central,87.73,133.21,credit_card,,1,0,1,2025-07-24 02:37:56,21,Saturday,5,1,1,1,0
TXN_457495767135,USR_55419,13,3120,99.65,1,desktop,Linux,Abuja,Lagos,Kano,0,Kano North,2.01,140.16,credit_card,Verve,1,0,5,2025-05-05 14:46:34,23,Tuesday,5,1,1,1,1
TXN_666463925163,USR_10143,1772,1126,99.65,0,tablet,iOS,Kano,Abuja,Lagos,1,Kano North,98.68,5.48,paypal,Amex,4,0,10,2025-02-26 16:54:18,5,Friday,8,0,1,1,1
TXN_297928247469,USR_21967,1958,1375,88.94,1,tablet,Linux,Ibadan,Abuja,Kano,0,Abuja Central,2.01,72.84,paypal,,3,0,2,2025-07-15 17:49:25,22,Wednesday,8,1,0,1,1
TXN_106437660522,USR_76764,1958,1675,99.65,0,tablet,Linux,Ibadan,Lagos,Port Harcourt,1,Port Harcourt South,79.08,152.77,bank_transfer,Verve,5,1,2,2025-02-27 18:25:40,23,Sunday,9,1,0,1,1
TXN_437876471949,USR_24010,1958,3669,99.65,0,tablet,Android,Abuja,Abuja,Lagos,0,Lagos Island,98.68,378.84,bank_transfer,Verve,1,0,0,2025-01-05 19:40:03,21,Friday,2,1,0,0,0
TXN_658576579444,USR_79004,1029,4986,11.78,1,mobile,Windows,Lagos,Lagos,Ibadan,0,Lagos Island,39.51,78.26,wallet,Amex,3,1,0,2025-06-30 12:18:57,17,Friday,9,1,0,1,1
TXN_388541235149,USR_31492,1958,46,93.95,1,desktop,Linux,Kano,Ibadan,Kano,0,Abuja Central,87.37,204.1,paypal,Visa,1,1,2,2025-07-15 17:49:25,17,Saturday,10,1,0,0,1
TXN_754185865877,USR_59649,1958,4986,99.65,1,desktop,MacOS,Port Harcourt,Ibadan,Ibadan,0,Port Harcourt South,16.57,403.67,paypal,Verve,0,0,6,2025-08-23 23:00:46,9,Thursday,3,1,1,1,0
TXN_985365679257,USR_29912,13,4986,5.36,1,desktop,Linux,Port Harcourt,Lagos,Lagos,0,Abuja Central,2.01,491.52,paypal,Amex,1,0,8,2025-04-21 18:45:47,23,Thursday,2,0,0,1,0
TXN_847459776774,USR_65457,1064,1544,53.81,0,tablet,Windows,Ibadan,Abuja,Kano,0,Abuja Central,36.06,256.23,credit_card,Visa,0,0,6,2025-06-10 12:08:05,5,Saturday,7,1,0,1,0
TXN_48609081916,USR_79513,13,4986,24.62,0,tablet,iOS,Ibadan,Lagos,Ibadan,0,Lagos Mainland,52.55,5.48,wallet,Amex,5,0,10,2025-04-24 17:32:18,8,Thursday,10,1,1,1,0
TXN_748695995463,USR_42847,13,4986,90.3,0,desktop,iOS,Abuja,Kano,Kano,0,Lagos Island,98.68,5.48,paypal,Mastercard,5,0,10,2025-07-11 16:32:08,14,Tuesday,10,1,0,1,0
TXN_550750538128,USR_21401,572,1338,99.65,0,tablet,MacOS,Ibadan,Ibadan,Ibadan,0,Port Harcourt South,34.63,5.48,debit_card,,5,1,8,2025-03-14 16:46:03,15,Tuesday,9,1,1,1,1
TXN_985365679257,USR_53250,1787,4986,54.3,0,desktop,iOS,Lagos,Ibadan,Abuja,0,Abuja Central,2.01,152.16,paypal,Verve,5,1,5,2025-04-03 05:20:22,23,Sunday,8,1,0,1,0
TXN_783286442412,USR_53250,780,550,5.36,1,tablet,Android,Abuja,Port Harcourt,Abuja,0,Port Harcourt South,2.01,253.45,debit_card,Visa,3,0,2,2025-01-16 05:22:31,23,Sunday,5,1,0,0,0
TXN_550750538128,USR_73196,596,46,21.76,1,desktop,iOS,Abuja,Port Harcourt,Ibadan,0,Kano North,98.68,253.21,debit_card,,2,0,3,2025-03-06 01:27:14,15,Wednesday,4,1,1,1,0
TXN_547205323622,USR_55419,13,1762,5.36,1,mobile,Android,Port Harcourt,Ibadan,Ibadan,0,Abuja Central,2.01,405.45,paypal,Verve,1,0,6,2025-02-10 21:51:07,13,Tuesday,10,1,0,1,0
TXN_918994032496,USR_70276,1813,4986,28.54,1,tablet,Android,Lagos,Port Harcourt,Abuja,0,Kano North,81.05,68.31,debit_card,Verve,4,0,0,2025-01-25 03:07:56,23,Sunday,10,1,0,1,0
TXN_618452000073,USR_19378,756,4986,55.85,0,desktop,Linux,Port Harcourt,Port Harcourt,Lagos,0,Lagos Mainland,24.33,403.59,wallet,,1,0,2,2025-07-16 18:39:29,0,Wednesday,10,1,0,1,0
TXN_78622335624,USR_64920,1618,4986,95.27,0,tablet,Windows,Port Harcourt,Ibadan,Lagos,0,Kano North,98.68,218.28,credit_card,Visa,1,0,2,2025-03-06 12:50:41,10,Thursday,9,1,0,1,0
TXN_550750538128,USR_50145,622,4986,72.12,0,tablet,Android,Kano,Ibadan,Kano,1,Abuja Central,69.6,5.48,wallet,,1,0,7,2025-07-15 20:02:33,14,Wednesday,5,1,1,1,1
TXN_459155872314,USR_10296,1576,4098,99.65,0,tablet,Android,Abuja,Abuja,Lagos,0,Abuja Central,73.64,491.52,bank_transfer,Verve,0,0,5,2025-05-09 02:39:13,6,Wednesday,9,0,0,1,1
TXN_319867830148,USR_21401,13,4986,5.36,0,tablet,iOS,Ibadan,Abuja,Port Harcourt,1,Abuja Central,98.68,82.04,wallet,,5,0,8,2025-02-02 01:33:17,19,Sunday,10,1,1,1,0
TXN_715193982960,USR_6191,102,947,99.65,0,desktop,iOS,Port Harcourt,Ibadan,Lagos,0,Abuja Central,91.37,334.93,wallet,Verve,2,0,3,2025-02-10 21:51:07,11,Sunday,5,0,0,0,0
TXN_670825650447,USR_45092,13,4986,60.88,0,tablet,iOS,Abuja,Ibadan,Lagos,1,Lagos Mainland,7.09,73.75,debit_card,Visa,5,0,8,2025-04-24 17:32:18,19,Friday,10,1,1,1,0
TXN_305354698512,USR_21401,13,4793,6.49,0,mobile,Windows,Port Harcourt,Ibadan,Ibadan,1,Port Harcourt South,98.68,296.26,paypal,Verve,1,1,4,2025-08-26 19:29:11,23,Saturday,9,0,1,1,1
TXN_547205323622,USR_77878,13,4986,53.01,1,desktop,MacOS,Ibadan,Abuja,Abuja,1,Kano North,58.2,336.68,bank_transfer,Visa,1,0,7,2025-02-26 12:42:36,20,Wednesday,10,0,0,1,1
TXN_41516246444,USR_31104,13,46,99.65,1,tablet,iOS,Port Harcourt,Ibadan,Abuja,1,Abuja Central,90.38,84.74,paypal,Visa,3,1,7,2025-05-10 04:48:26,23,Saturday,10,1,0,1,0
TXN_603394749104,USR_29132,1931,46,99.65,0,mobile,MacOS,Kano,Kano,Ibadan,0,Abuja Central,70.52,295.03,paypal,Amex,3,0,1,2025-03-16 19:55:29,23,Thursday,9,1,1,1,0
TXN_972525231891,USR_57143,13,2758,99.65,1,mobile,Windows,Abuja,Port Harcourt,Kano,1,Port Harcourt South,98.68,169.77,paypal,Verve,1,0,9,2025-05-12 07:44:41,23,Tuesday,8,1,0,1,0
TXN_553026318127,USR_46565,13,46,5.36,0,tablet,Android,Port Harcourt,Port Harcourt,Ibadan,0,Lagos Island,16.19,166.9,credit_card,Verve,5,0,4,2025-02-22 21:41:21,13,Thursday,0,0,0,1,0
TXN_936516546392,USR_29665,1958,3047,99.65,0,tablet,Android,Port Harcourt,Ibadan,Lagos,0,Lagos Mainland,77.16,7.93,credit_card,Visa,2,1,1,2025-01-21 09:10:58,23,Friday,8,1,0,1,0
TXN_985365679257,USR_93314,1958,646,88.68,0,desktop,Linux,Port Harcourt,Port Harcourt,Port Harcourt,0,Lagos Mainland,28.96,491.52,wallet,Mastercard,1,0,0,2025-01-18 13:23:10,1,Saturday,10,1,0,1,0
TXN_618452000073,USR_19378,482,4673,62.76,0,mobile,Windows,Kano,Lagos,Kano,0,Abuja Central,98.68,491.52,paypal,,3,0,10,2025-05-25 18:58:45,20,Friday,7,1,0,1,1
TXN_883064289216,USR_34392,1110,721,53.83,0,tablet,Windows,Port Harcourt,Abuja,Kano,0,Lagos Island,28.35,491.52,paypal,Verve,3,0,1,2025-01-24 17:45:12,0,Saturday,8,0,1,1,0
TXN_412574115603,USR_45395,674,46,99.65,0,mobile,MacOS,Port Harcourt,Abuja,Ibadan,1,Port Harcourt South,45.64,72.84,bank_transfer,Mastercard,2,0,7,2025-02-22 21:41:21,2,Saturday,7,1,0,0,0
TXN_670825650447,USR_31460,1249,4986,99.65,0,tablet,Windows,Port Harcourt,Kano,Abuja,0,Kano North,87.42,5.48,paypal,Visa,3,0,6,2025-04-21 18:45:47,21,Saturday,9,1,1,1,0
TXN_860946847962,USR_42847,13,4986,75.08,0,tablet,Linux,Abuja,Kano,Abuja,0,Kano North,98.68,400.09,debit_card,Verve,1,0,9,2025-05-11 20:01:56,20,Monday,10,1,1,0,0
TXN_813582749922,USR_10335,1958,46,24.69,1,tablet,iOS,Kano,Abuja,Kano,0,Port Harcourt South,93.91,153.35,paypal,Amex,5,0,2,2025-01-21 12:47:49,18,Wednesday,10,1,0,0,0
TXN_355658157368,USR_95663,1282,46,98.77,1,tablet,MacOS,Ibadan,Port Harcourt,Ibadan,0,Port Harcourt South,98.68,163.71,paypal,Verve,0,1,2,2025-07-25 19:28:06,4,Saturday,0,0,0,1,0
TXN_148984428166,USR_79966,13,4986,16.66,0,tablet,Linux,Port Harcourt,Kano,Lagos,0,Kano North,52.46,5.48,wallet,Verve,0,0,8,2025-06-14 06:27:10,19,Tuesday,9,0,0,1,0
TXN_666463925163,USR_37243,1958,46,99.65,0,desktop,Windows,Port Harcourt,Lagos,Port Harcourt,0,Kano North,95.89,409.69,credit_card,Mastercard,1,1,10,2025-03-14 16:46:03,18,Monday,3,1,0,1,0
TXN_148984428166,USR_79966,1210,4986,99.65,0,desktop,Windows,Ibadan,Abuja,Ibadan,1,Lagos Island,98.68,491.52,bank_transfer,Verve,1,1,7,2025-01-10 08:46:39,13,Monday,9,1,0,1,0
TXN_735089727752,USR_45092,1489,571,37.09,0,tablet,Linux,Port Harcourt,Lagos,Ibadan,0,Lagos Mainland,49.67,5.48,paypal,,5,0,10,2025-05-10 04:48:26,0,Wednesday,8,1,0,1,0
TXN_355815623016,USR_79966,13,4986,45.72,0,tablet,Android,Kano,Port Harcourt,Ibadan,1,Abuja Central,33.41,126.6,paypal,Mastercard,3,0,10,2025-06-04 14:52:44,17,Tuesday,10,1,0,0,0
TXN_463593076030,USR_54236,13,855,62.48,1,tablet,Android,Port Harcourt,Ibadan,Lagos,0,Abuja Central,98.68,120.84,paypal,Visa,4,1,2,2025-05-17 06:10:47,23,Saturday,3,1,0,1,0
TXN_412574115603,USR_79966,13,4986,38.01,0,desktop,Windows,Lagos,Ibadan,Ibadan,1,Abuja Central,2.01,63.67,bank_transfer,,2,0,10,2025-01-18 13:23:10,23,Wednesday,7,0,1,1,1
TXN_659386555738,USR_51158,13,1428,59.87,1,desktop,Windows,Port Harcourt,Abuja,Ibadan,0,Lagos Island,59.82,5.48,wallet,Verve,0,0,6,2025-01-24 17:45:12,0,Saturday,8,0,0,1,1
TXN_29971908398,USR_27895,1143,4986,99.65,0,mobile,Linux,Port Harcourt,Ibadan,Ibadan,0,Lagos Island,98.68,163.99,debit_card,Verve,4,0,2,2025-03-13 01:17:44,23,Saturday,9,1,1,1,0
TXN_903941129570,USR_96718,349,4986,5.36,0,desktop,Linux,Abuja,Kano,Lagos,0,Kano North,52.92,258.48,wallet,Verve,1,0,2,2025-03-06 12:50:41,23,Wednesday,1,1,1,1,0
TXN_743656763890,USR_90740,1958,4986,49.04,0,tablet,Windows,Kano,Abuja,Lagos,1,Abuja Central,2.01,177.13,credit_card,,0,0,5,2025-03-28 13:00:59,13,Friday,7,0,0,1,0
TXN_807634763125,USR_10143,13,4986,49.77,1,mobile,Windows,Port Harcourt,Ibadan,Ibadan,0,Kano North,98.68,174.51,paypal,Visa,1,0,9,2025-08-03 07:55:50,23,Saturday,6,1,0,1,0
